============================================================
矿机运行日志 - 10.102.1.7
导出时间: 2026-03-19 21:49:27
IP: 10.102.1.7  序列号: MINER-10-102-1-7  型号: Antminer S19 XP
============================================================

[2026-03-19 21:49:27] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
========== errors（错误） ==========
2026-03-17T11:07:26.437454Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 30.5°C / outlet 48.5°C
2026-03-17T11:07:26.438043Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T11:07:36.447006Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T11:11:32.006637Z  INFO bosminer::client::stratum_v2: log_message="Stratum: rejected solution #1514 with nonce=3ad7dc90!"
2026-03-17T11:15:06.941379Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T11:15:06.962915Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T11:15:06.963247Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T11:37:30.264597Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0410, expected 0x0010)
2026-03-17T11:37:36.776125Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 30.5°C / outlet 48.5°C
2026-03-17T11:37:36.776893Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T11:37:48.260038Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T11:38:10.051541Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T11:38:10.069307Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T11:38:10.069554Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T11:48:12.694575Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0000, expected 0x0045)
2026-03-17T12:07:48.442057Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 30.5°C / outlet 48.5°C
2026-03-17T12:07:48.442833Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T12:07:59.436264Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T12:15:10.340179Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T12:15:10.358981Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T12:15:10.359248Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T12:37:59.865073Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 25.5°C / outlet 44.0°C, current inlet 30.5°C / outlet 48.5°C
2026-03-17T12:37:59.865640Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T12:38:09.879070Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T12:38:16.432748Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T12:38:16.461066Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
