============================================================
矿机运行日志 - 10.102.0.151
导出时间: 2026-03-19 21:46:51
IP: 10.102.0.151  序列号: MINER-10-102-0-151  型号: Antminer S19 XP
============================================================

[2026-03-19 21:46:51] [SYSTEM_LOG] 矿机后台系统日志（与 Web 界面一致）
========== errors（错误） ==========
2026-03-17T09:37:54.908995Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 49.0°C
2026-03-17T09:37:54.909829Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T09:38:13.569091Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T09:38:58.841818Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T09:38:58.860526Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T09:38:58.860884Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T10:08:13.993584Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.0°C / outlet 48.5°C
2026-03-17T10:08:13.994392Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T10:08:32.627454Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T10:14:31.047058Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T10:14:31.076930Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T10:14:31.077425Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T10:17:01.442704Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0043, expected 0x0045)
2026-03-17T10:20:08.257701Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0011, expected 0x0043)
2026-03-17T10:38:33.437539Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 49.0°C
2026-03-17T10:38:33.438299Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T10:38:52.087535Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T10:39:05.306654Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T10:39:05.342897Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T10:39:05.343427Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T10:40:13.659072Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0000, expected 0x0046)
2026-03-17T10:50:28.410130Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0048, expected 0x0047)
2026-03-17T11:08:52.799752Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 49.0°C
2026-03-17T11:08:52.800625Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T11:09:11.442284Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T11:14:34.447755Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T11:14:34.470413Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T11:14:34.471040Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T11:39:11.801636Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T11:39:11.820406Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T11:39:11.820801Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T11:39:12.380980Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.0°C / outlet 48.5°C
2026-03-17T11:39:12.381682Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T11:39:32.710155Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T12:09:33.594901Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 49.0°C
2026-03-17T12:09:33.595750Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T12:09:52.228798Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T12:14:37.934637Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T12:14:37.954595Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T12:14:37.954765Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T12:30:30.264898Z  WARN bosminer_am2_s17::hardware::antminer::psu::i2c: PSU: Command execution failed: PSU: Received reply with invalid checksum (got 0x0000, expected 0x0044)
2026-03-17T12:39:18.231019Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T12:39:18.256451Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
2026-03-17T12:39:18.256648Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: bs.poolbinance.com:3333"
2026-03-17T12:39:52.253708Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.0°C / outlet 48.5°C
2026-03-17T12:39:52.254374Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T12:40:10.891769Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T13:10:11.613556Z  INFO bosminer_plus_tuner::tune::stages::stage4: Tune/all: Stage 4: Profile tuned at inlet 29.0°C / outlet 48.5°C, current inlet 27.5°C / outlet 48.5°C
2026-03-17T13:10:11.614331Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: ramping frequency
2026-03-17T13:10:31.965888Z  INFO bosminer_plus_tuner::tune::experiment: Tune/all: Status: measuring performance for 1800 seconds
2026-03-17T13:14:41.329204Z  INFO ii_dns: Host ("btc.poolbinance.com", 1800) resolved by tokio resolver successfully
2026-03-17T13:14:41.353883Z  INFO ii_dns: TcpStream connected to 172.65.217.190:1800
2026-03-17T13:14:41.354271Z  INFO bosminer::client::stratum_v2: log_message="Connected Stratum V1 to: btc.poolbinance.com:1800"
2026-03-17T13:39:24.615556Z  INFO ii_dns: Host ("bs.poolbinance.com", 3333) resolved by tokio resolver successfully
2026-03-17T13:39:24.645352Z  INFO ii_dns: TcpStream connected to 172.65.217.190:3333
